version, fibo number, cycles, instructions, cache misses, branches
C -O3, 10, 1200614, 933883, 10761, 170232
pancake with MEP usage, 10, 1220024, 948009, 14178, 172183
pancake without MEP usage, 10, 1230407, 944422, 13934, 171402
C -O3, 1000, 1172909, 968372, 26477, 174440
C -O2, 1000, 1228371, 965955, 14012, 174118
C -O1, 1000, 1292354, 1040085, 14820, 191277
C -O0, 1000, 1336227, 1125391, 15807, 191788
pancake without MEP usage, 1000, 1750882, 1876497, 17735, 270311
pancake with MEP usage, 1000, 1772249, 1877278, 16509, 280070
C -O3, 10000, 1323492, 1315560, 12809, 220913
C -O0, 10000, 1998407, 2789340, 14363, 378149
pancake without MEP usage, 10000, 6428682, 10304856, 15215, 1162129
pancake with MEP usage, 10000, 6476155, 10358675, 14065, 1262871
